date	meg_whitman	tim_cook	satya_nadella	marissa_mayer	larry_page	john_donahoe	mark_zuckerberg	dick_costolo	event
121	8.72	0.58	5.18		-19.35	-19.43	-48.84	6.05
122		1.04	6.38	5.38		-17.39
123			6.46	4.57		-17.34
124	10.95			6.9	-18.93	-17.86	-49.87	6.79
125	10.23				-18.57		-49.04	7.75
126	8.23	1.59	5.56		-18.8		-45.82	8.3
127	7.46	1.98	5.1	7.89	-19.67	-18.89	-47.33	8.02
128	6.61	1.67	4.61	8.01	-19.64	-19.6	-46.77	5.06
129		1.99	4.72	10.31		-18.79
130			6.08	10.93		-18.56
131	6.79			10.7		-20.46	-51.3	4.48
132	7.1				-19.5		-51.84	1.37
133	8.75	1.85	6.52		-18.11		-50.65	2.19
134	7.34	2.4	6.58	12.33	-17.85	-18.52	-52.03	-0.31	{"person":"larry_page", "desc":"Acquires Motorola","link":"http://arstechnica.com/gadgets/2011/08/google-to-buy-motorola-in-effort-to-defend-itself-from-patent-bullies/"}
135	7.75	2.71	5.88	15.32	-17.41	-17	-48.53	2.28
136		3.61	5.61	16.63		-19.11
137			5.83	17.49		-20.7
138	6.74			16.63	-16.81	-19.89	-47.7	-0.87
139	7.37	3.36			-17.11		-47.15	-2.86
140	8.82	2.73	6.6		-16.27		-48.44	-8.54	{"person":"mark_zuckerberg", "desc":"One Billion Active Users","link":"http://www.wsj.com/articles/SB10000872396390443635404578036164027386112"}
141	7.11	2.25	6.41	17.31	-16.96	-18.93	-48.4	-4.14
142	6.45	1.45	6.43	16.52	-16.85	-19.31	-50.63	-2.22
143		1.59	5.66	17.14		-19.85
144			6.55			-20.92
145	5.63			16.62	-17.5	-23.42	-51.47	-4.52
146	6.83				-18.12		-51.13	-5.44
147	7.56	2.12	4.92		-17.53		-52.35	-8.13
148	8.73	1.63	4.15	17.42	-17.71	-20.2	-52.04	-10.7
149	7.97	0.64	4.25	18.84	-20.02	-20.91	-52.52	-10.21	{"person":"marissa_mayer", "desc":"Revamps Yahoo Mail","link":"http://techcrunch.com/2012/12/11/yahoo-introduces-a-new-mail-experience-and-its-more-intuitive-and-built-for-speed/"}
150		-1.07	3.34	17.76		-21.94
151				16.72		-22.2
152				16.17	-20.49	-19.09	-52.83	-10.61
153	7.21	0.71			-20.84		-53.49	-12.73	{"person":"dick_costolo", "desc":"Facebook-like Profile Redesign","link":"http://mashable.com/2014/04/08/twitter-profile-redesign/#4nN74J.uDikg"}
154	6.27	-1.03	4.62		-21.28		-52.58	-12.75	{"person":"meg_whitman", "desc":"Profits halve after PC demand slumps","link":"http://www.telegraph.co.uk/finance/newsbysector/mediatechnologyandtelecoms/electronics/9099851/Hewlett-Packard-profits-halve-after-PC-demand-slumps.html"}
155	-1.47	3.97	5.52	15.12	-22.88		-54.27	-12.4
156	-3.19	3.97	4.58	17.69	-22.77	-19.97	-53.19	-13.98
157		4.18	5.15	18.35		-22.22
158			5.72	19.67		-19.08
159	-4.68			20.12	-22.53	-20.4	-52.58	-12.72
160	-5.59	5.69			-21.96		-51.72	-3.06
161	-8.12	6.42	5.25		-21.66		-42.31	-6.61	{"person":"satya_nadella", "desc":"Cuts Up To 18k Jobs, Mostly Nokia","link":"http://www.wsj.com/articles/microsoft-to-cut-18-000-jobs-1405599599"}
162	-9.01	5.07	6.6	21.2	-21.23	-21.02	-44.06	-5.59
163	-8.37	4.41	10.46	20.33	-20.17	-19.87	-45.63
164		3.78	13.18	19.81		-23.19
165			11.83	20.49		-21.95
166	-8.7			23.15		-23.19		-3.85
167	-10.55	4.88			-18.7			-5
168	-10.63	5.91	12.39		-18.49		-47.5	-4.35
169	-10.66	7.24	11.58	21.85	-17.9	-21.99	-48	-7.18
170	-12.85	10.51	11.24	19.67	-19.74	-24.85	-47.41	-12.29
171		11.47	10.11	19.95		-18.04
